project_split,true_angle,attempted_count,estimated_count,failure_count,failure_rate,low_confidence_count,reliable_count,reliable_rate,zone_accuracy,mean_angle_confidence,mean_combined_confidence,circular_mae_degrees,circular_median_ae_degrees,circular_std_degrees,circular_rmse_degrees,maximum_circular_error_degrees,within_1_degrees_count,within_1_degrees_rate,within_2_degrees_count,within_2_degrees_rate,within_3_degrees_count,within_3_degrees_rate,within_5_degrees_count,within_5_degrees_rate,within_10_degrees_count,within_10_degrees_rate
test,0.0,59,57,2,0.03389830508474576,57,0,0.0,0.15254237288135594,0.015333810425914493,0.015333810425914493,83.53947368421052,90.0,70.59371942694342,109.37237716153432,180.0,16,0.2807017543859649,20,0.3508771929824561,20,0.3508771929824561,20,0.3508771929824561,20,0.3508771929824561
test,1.0,59,58,1,0.01694915254237288,58,0,0.0,0.3220338983050847,0.022253394810410672,0.022253394810410672,118.35344827586206,92.125,65.53210641256707,135.28486866481106,180.0,6,0.10344827586206896,9,0.15517241379310345,9,0.15517241379310345,9,0.15517241379310345,9,0.15517241379310345
test,135.0,59,59,0,0.0,59,0,0.0,0.4406779661016949,0.313443745314196,0.313443745314196,102.9364406779661,179.0,86.30607478595203,134.33037394575652,180.0,10,0.1694915254237288,12,0.2033898305084746,14,0.23728813559322035,14,0.23728813559322035,20,0.3389830508474576
test,179.0,59,58,1,0.01694915254237288,58,0,0.0,0.3389830508474576,0.01999434162559317,0.01999434162559317,113.85775862068965,91.75,66.1120736024117,131.66015142835712,180.0,3,0.05172413793103448,9,0.15517241379310345,10,0.1724137931034483,10,0.1724137931034483,10,0.1724137931034483
test,180.0,59,57,2,0.03389830508474576,57,0,0.0,0.2711864406779661,0.015565587981131035,0.015565587981131035,94.33771929824562,90.0,69.888170246562,117.40511753244412,179.75,15,0.2631578947368421,16,0.2807017543859649,16,0.2807017543859649,16,0.2807017543859649,16,0.2807017543859649
test,181.0,59,58,1,0.01694915254237288,58,0,0.0,0.4576271186440678,0.021957626688017352,0.021957626688017352,58.82327586206897,87.125,62.02710768321049,85.48414982141225,179.5,22,0.3793103448275862,26,0.4482758620689655,28,0.4827586206896552,28,0.4827586206896552,28,0.4827586206896552
test,225.0,59,59,0,0.0,59,0,0.0,0.559322033898305,0.31596116063198443,0.31596116063198443,77.28389830508475,1.5,86.15792134346643,115.74104003100035,180.0,27,0.4576271186440678,30,0.5084745762711864,32,0.5423728813559322,32,0.5423728813559322,33,0.559322033898305
test,269.0,59,58,1,0.01694915254237288,58,0,0.0,0.4406779661016949,0.02025060504418069,0.02025060504418069,50.866379310344826,2.0,58.39965634341128,77.44616456076062,180.0,21,0.3620689655172414,30,0.5172413793103449,31,0.5344827586206896,31,0.5344827586206896,31,0.5344827586206896
test,270.0,59,57,2,0.03389830508474576,57,0,0.0,0.288135593220339,0.01599633016808859,0.01599633016808859,48.26315789473684,1.0,56.19882508473726,74.07860926662428,180.0,29,0.5087719298245614,30,0.5263157894736842,31,0.543859649122807,31,0.543859649122807,31,0.543859649122807
test,271.0,59,58,1,0.01694915254237288,58,0,0.0,0.423728813559322,0.0214381976797193,0.0214381976797193,51.13793103448276,2.0,58.641520766333706,77.80691452741114,179.75,21,0.3620689655172414,30,0.5172413793103449,31,0.5344827586206896,31,0.5344827586206896,31,0.5344827586206896
test,315.0,59,59,0,0.0,59,0,0.0,0.559322033898305,0.31412515689169007,0.31412515689169007,77.27966101694915,2.0,86.06548163287447,115.66941313758457,180.0,22,0.3728813559322034,30,0.5084745762711864,31,0.5254237288135594,33,0.559322033898305,33,0.559322033898305
test,359.0,59,58,1,0.01694915254237288,58,0,0.0,0.4745762711864407,0.019816102746108535,0.019816102746108535,68.96120689655173,89.875,67.19454837486461,96.28476197161747,179.75,24,0.41379310344827586,25,0.43103448275862066,25,0.43103448275862066,25,0.43103448275862066,25,0.43103448275862066
test,45.0,59,59,0,0.0,59,0,0.0,0.4406779661016949,0.3155946501002238,0.3155946501002238,103.19491525423729,178.0,85.8050740740734,134.20767962820324,180.0,10,0.1694915254237288,12,0.2033898305084746,13,0.22033898305084745,14,0.23728813559322035,19,0.3220338983050847
test,89.0,59,58,1,0.01694915254237288,58,0,0.0,0.3389830508474576,0.020836813768067362,0.020836813768067362,127.76724137931035,178.0,58.09044416024755,140.35301091324615,180.0,3,0.05172413793103448,4,0.06896551724137931,5,0.08620689655172414,5,0.08620689655172414,5,0.08620689655172414
test,90.0,59,57,2,0.03389830508474576,57,0,0.0,0.2033898305084746,0.01608968823752943,0.01608968823752943,133.1578947368421,179.0,56.304732272426456,144.5726385144075,180.0,2,0.03508771929824561,4,0.07017543859649122,4,0.07017543859649122,4,0.07017543859649122,4,0.07017543859649122
test,91.0,59,58,1,0.01694915254237288,58,0,0.0,0.3559322033898305,0.021610263280129882,0.021610263280129882,127.32327586206897,178.25,60.90288709503111,141.1395700459606,180.0,5,0.08620689655172414,6,0.10344827586206896,6,0.10344827586206896,6,0.10344827586206896,6,0.10344827586206896
validation,0.0,61,61,0,0.0,61,0,0.0,0.16393442622950818,0.01536685897762363,0.01536685897762363,103.13934426229508,90.0,68.3006181204503,123.70407742064043,180.0,10,0.16393442622950818,14,0.22950819672131148,14,0.22950819672131148,14,0.22950819672131148,14,0.22950819672131148
validation,1.0,61,61,0,0.0,61,0,0.0,0.2459016393442623,0.0237952147394113,0.0237952147394113,122.1639344262295,96.0,62.96001016202473,137.43358306505132,180.0,5,0.08196721311475409,7,0.11475409836065574,8,0.13114754098360656,8,0.13114754098360656,8,0.13114754098360656
validation,135.0,61,61,0,0.0,61,0,0.0,0.39344262295081966,0.2822455263076261,0.2822455263076261,110.29918032786885,179.0,85.68456041067586,139.67015813612616,180.0,10,0.16393442622950818,12,0.19672131147540983,16,0.26229508196721313,18,0.29508196721311475,20,0.32786885245901637
validation,179.0,61,61,0,0.0,61,0,0.0,0.2786885245901639,0.01740854598542289,0.01740854598542289,103.31967213114754,90.75,67.99649115747494,123.68701410825793,180.0,3,0.04918032786885246,13,0.21311475409836064,14,0.22950819672131148,14,0.22950819672131148,14,0.22950819672131148
validation,180.0,61,61,0,0.0,61,0,0.0,0.39344262295081966,0.015334592569733251,0.015334592569733251,72.6311475409836,89.5,68.24109871932642,99.6600780028843,179.75,24,0.39344262295081966,25,0.4098360655737705,25,0.4098360655737705,25,0.4098360655737705,25,0.4098360655737705
validation,181.0,61,61,0,0.0,61,0,0.0,0.5245901639344263,0.023682638170575417,0.023682638170575417,54.98360655737705,1.75,63.30640213222648,83.85044747038388,179.75,29,0.47540983606557374,32,0.5245901639344263,32,0.5245901639344263,32,0.5245901639344263,32,0.5245901639344263
validation,225.0,61,61,0,0.0,61,0,0.0,0.6065573770491803,0.28325691566626915,0.28325691566626915,69.84016393442623,1.5,85.59173289119333,110.46987479718132,180.0,28,0.45901639344262296,33,0.5409836065573771,34,0.5573770491803278,36,0.5901639344262295,37,0.6065573770491803
validation,269.0,61,61,0,0.0,61,0,0.0,0.45901639344262296,0.0177867235547194,0.0177867235547194,50.49180327868852,2.25,59.070064108627534,77.70903854849286,179.75,20,0.32786885245901637,30,0.4918032786885246,32,0.5245901639344263,33,0.5409836065573771,33,0.5409836065573771
validation,270.0,61,61,0,0.0,61,0,0.0,0.32786885245901637,0.015631656546172865,0.015631656546172865,47.6844262295082,1.25,57.45521958410456,74.66529824687692,179.25,29,0.47540983606557374,34,0.5573770491803278,34,0.5573770491803278,34,0.5573770491803278,34,0.5573770491803278
validation,271.0,61,61,0,0.0,61,0,0.0,0.4918032786885246,0.02157362373617492,0.02157362373617492,50.528688524590166,2.5,59.61809980626303,78.15027951661203,180.0,26,0.4262295081967213,30,0.4918032786885246,32,0.5245901639344263,33,0.5409836065573771,33,0.5409836065573771
validation,315.0,61,61,0,0.0,61,0,0.0,0.6065573770491803,0.2830734761180406,0.2830734761180406,69.95901639344262,1.75,85.85079484828138,110.74575816174483,180.0,28,0.45901639344262296,34,0.5573770491803278,36,0.5901639344262295,37,0.6065573770491803,37,0.6065573770491803
validation,359.0,61,61,0,0.0,61,0,0.0,0.47540983606557374,0.017143869888354507,0.017143869888354507,73.85655737704919,89.0,67.33604037994799,99.94465169102018,180.0,18,0.29508196721311475,21,0.3442622950819672,21,0.3442622950819672,24,0.39344262295081966,24,0.39344262295081966
validation,45.0,61,61,0,0.0,61,0,0.0,0.39344262295081966,0.2829154169248748,0.2829154169248748,110.09016393442623,178.75,85.77221588606601,139.55900978838577,180.0,7,0.11475409836065574,15,0.2459016393442623,18,0.29508196721311475,19,0.3114754098360656,20,0.32786885245901637
validation,89.0,61,61,0,0.0,61,0,0.0,0.2459016393442623,0.018114045259171357,0.018114045259171357,132.35245901639345,177.25,54.82887643089679,143.2598307215273,180.0,1,0.01639344262295082,3,0.04918032786885246,4,0.06557377049180328,4,0.06557377049180328,4,0.06557377049180328
validation,90.0,61,61,0,0.0,61,0,0.0,0.16393442622950818,0.015983936975744437,0.015983936975744437,131.01639344262296,179.0,57.33565017016347,143.01283904302977,180.0,2,0.03278688524590164,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409
validation,91.0,61,61,0,0.0,61,0,0.0,0.2786885245901639,0.021454863824659942,0.021454863824659942,132.38524590163934,178.25,57.61114656510569,144.37762133025882,180.0,4,0.06557377049180328,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409
